epsilon,f1,acc,uuc_acc,inner,outer,half,auroc
[],"[1.0, 0.9086419753086421, 0.8873626373626373, 0.8052415917278553, 0.9349560292956519]","[1.0, 0.9166666666666666, 0.8775510204081632, 0.8431372549019608, 0.9375]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9166666666666666, 0.8775510204081632, 0.8431372549019608, 0.9375]","[1.0, 0.8260869565217391, 0.75, 0.6666666666666666, 0.8695652173913043]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[1.0, 0.9086419753086421, 0.8873626373626373, 0.7132867132867133, 0.886762360446571]","[1.0, 0.9166666666666666, 0.8775510204081632, 0.7843137254901961, 0.8958333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9166666666666666, 0.8775510204081632, 0.7843137254901961, 0.8958333333333334]","[1.0, 0.8260869565217391, 0.75, 0.5416666666666666, 0.782608695652174]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.9756534192624419, 0.8819776714513557, 0.8873626373626373, 0.6017022193492781, 0.8599086099086098]","[0.9787234042553191, 0.8958333333333334, 0.8775510204081632, 0.7254901960784313, 0.875]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9787234042553191, 0.8958333333333334, 0.8775510204081632, 0.7254901960784313, 0.875]","[0.9565217391304348, 0.782608695652174, 0.75, 0.4166666666666667, 0.7391304347826086]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.9756534192624419, 0.8531746031746031, 0.8599190283400809, 0.6017022193492781, 0.8599086099086098]","[0.9787234042553191, 0.875, 0.8571428571428571, 0.7254901960784313, 0.875]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9787234042553191, 0.875, 0.8571428571428571, 0.7254901960784313, 0.875]","[0.9565217391304348, 0.7391304347826086, 0.7083333333333334, 0.4166666666666667, 0.7391304347826086]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.9756534192624419, 0.8218094255245959, 0.8599190283400809, 0.5788182831661093, 0.8373712057922584]","[0.9787234042553191, 0.8541666666666666, 0.8571428571428571, 0.7058823529411765, 0.8541666666666666]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9787234042553191, 0.8541666666666666, 0.8571428571428571, 0.7058823529411765, 0.8541666666666666]","[0.9565217391304348, 0.6956521739130435, 0.7083333333333334, 0.375, 0.6956521739130435]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.9496296296296296, 0.7666128598331987, 0.8384674329501914, 0.5788182831661093, 0.8132822477650065]","[0.9574468085106383, 0.8125, 0.8367346938775511, 0.7058823529411765, 0.8333333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9574468085106383, 0.8125, 0.8367346938775511, 0.7058823529411765, 0.8333333333333334]","[0.9130434782608695, 0.6086956521739131, 0.6666666666666666, 0.375, 0.6521739130434783]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.8880381612128946, 0.7666128598331987, 0.8384674329501914, 0.5788182831661093, 0.7527777777777779]","[0.8936170212765957, 0.8125, 0.8367346938775511, 0.7058823529411765, 0.7916666666666666]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8936170212765957, 0.8125, 0.8367346938775511, 0.7058823529411765, 0.7916666666666666]","[0.782608695652174, 0.6086956521739131, 0.6666666666666666, 0.375, 0.5652173913043478]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.8381461675579324, 0.7065573770491803, 0.8384674329501914, 0.5540389435126277, 0.7271714121368996]","[0.851063829787234, 0.7708333333333334, 0.8367346938775511, 0.6862745098039216, 0.7708333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.851063829787234, 0.7708333333333334, 0.8367346938775511, 0.6862745098039216, 0.7708333333333334]","[0.6956521739130435, 0.5217391304347826, 0.6666666666666666, 0.3333333333333333, 0.5217391304347826]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.8381461675579324, 0.6640552995391705, 0.8158192090395481, 0.47222222222222215, 0.6922090171665723]","[0.851063829787234, 0.75, 0.8163265306122449, 0.6470588235294118, 0.75]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.851063829787234, 0.75, 0.8163265306122449, 0.6470588235294118, 0.75]","[0.6956521739130435, 0.4782608695652174, 0.625, 0.25, 0.4782608695652174]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.8141923436041084, 0.5604166666666667, 0.8158192090395481, 0.47222222222222215, 0.6922090171665723]","[0.8297872340425532, 0.7083333333333334, 0.8163265306122449, 0.6470588235294118, 0.75]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8297872340425532, 0.7083333333333334, 0.8163265306122449, 0.6470588235294118, 0.75]","[0.6521739130434783, 0.391304347826087, 0.625, 0.25, 0.4782608695652174]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
