y,x,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,class
50,2010,206.63,106.91,153.27,194.83,230.9931,1.8619,3.8771,259.1411,4.0,6.0,2.0,20.0,8.0,1.0,5.0,9.0,5.0,10.0,2.0,3.0,8.0,6.0,6.0,5.0,69.065771,167.235309,108.823951,153.520617,154.440247,1921.906111,36.692463,112.32439,1857.524701,346.0,359.0,360.0,1015.0,412.0,101.0,785.0,426.0,403.0,784.0,94.0,452.0,1062.0,458.0,527.0,516.0,28.676018,1
50,2050,133.92,119.17,136.49,123.48,910.8336,31.1811,37.2699,831.6696,3.0,2.0,3.0,0.0,8.0,1.0,22.0,2.0,6.0,7.0,0.0,1.0,24.0,6.0,10.0,5.0,-2.284229,171.397778,109.726914,153.323704,159.179136,2039.703748,29.859992,97.575957,2023.33717,338.0,377.0,358.0,1069.0,381.0,98.0,821.0,408.0,374.0,809.0,101.0,465.0,1080.0,444.0,488.0,489.0,33.414907,1
50,2070,189.75,108.41,154.81,177.13,387.6875,4.3819,4.3339,434.4131,5.0,2.0,1.0,10.0,6.0,1.0,15.0,3.0,5.0,18.0,1.0,6.0,8.0,9.0,4.0,6.0,51.365771,173.515556,109.56037,154.253457,161.250494,1958.984573,28.752034,96.677365,1943.25466,324.0,386.0,342.0,1042.0,389.0,107.0,820.0,407.0,375.0,779.0,102.0,458.0,1118.0,472.0,510.0,469.0,35.486265,1
60,150,173.2,100.33,161.43,156.46,26.92,0.6611,1.3651,29.7484,2.0,5.0,1.0,9.0,6.0,1.0,4.0,1.0,5.0,7.0,1.0,10.0,16.0,11.0,9.0,12.0,30.695771,170.148765,102.354444,161.246173,154.088519,456.38935,10.641159,45.339399,459.120683,284.0,351.0,281.0,1026.0,403.0,103.0,605.0,489.0,289.0,512.0,82.0,542.0,1290.0,510.0,605.0,728.0,28.32429,1
60,210,186.1,104.24,157.81,171.5,70.47,1.5224,4.9939,84.49,1.0,5.0,5.0,24.0,8.0,1.0,7.0,10.0,1.0,7.0,1.0,5.0,7.0,6.0,7.0,5.0,45.735771,177.274321,104.546296,161.160123,162.414074,575.180057,8.085388,51.545348,579.217185,272.0,365.0,274.0,1248.0,386.0,96.0,592.0,512.0,266.0,564.0,84.0,563.0,1253.0,469.0,513.0,643.0,36.649845,1
60,390,192.3,100.16,168.85,176.25,96.57,0.2744,1.1075,109.2875,4.0,4.0,2.0,27.0,3.0,0.0,2.0,4.0,4.0,11.0,2.0,10.0,13.0,7.0,0.0,7.0,50.485771,186.544444,101.92642,164.351481,170.978395,276.864815,4.866191,37.625473,290.540397,296.0,380.0,264.0,1125.0,371.0,143.0,478.0,458.0,295.0,602.0,102.0,597.0,1216.0,587.0,531.0,655.0,45.214166,1
60,410,189.8,98.51,168.61,173.07,25.06,0.4899,2.1179,27.4651,3.0,6.0,1.0,7.0,4.0,0.0,7.0,2.0,3.0,14.0,0.0,4.0,21.0,12.0,12.0,4.0,47.305771,186.915185,101.872222,163.688765,171.359383,189.841819,4.092438,34.523997,199.087511,322.0,391.0,270.0,1112.0,375.0,150.0,484.0,455.0,296.0,594.0,112.0,581.0,1160.0,576.0,557.0,665.0,45.595154,1
60,470,191.9,103.43,158.27,177.48,37.81,0.5651,0.9571,42.0696,7.0,3.0,3.0,17.0,3.0,1.0,6.0,4.0,2.0,6.0,4.0,8.0,13.0,6.0,6.0,11.0,51.715771,188.503827,103.605062,159.705062,173.847407,159.326529,6.807851,29.906468,166.471777,301.0,374.0,293.0,1139.0,381.0,131.0,538.0,535.0,290.0,563.0,122.0,555.0,1031.0,553.0,581.0,713.0,48.083179,1
60,700,166.85,106.92,150.89,152.74,560.6275,9.5136,20.0579,556.7524,1.0,5.0,5.0,10.0,1.0,0.0,3.0,4.0,1.0,11.0,1.0,7.0,31.0,9.0,6.0,5.0,26.975771,195.72716,103.685679,162.249012,181.485062,208.164324,4.696264,29.571943,220.110271,337.0,368.0,314.0,1094.0,380.0,107.0,558.0,509.0,291.0,523.0,102.0,530.0,1205.0,537.0,550.0,695.0,55.720833,1
60,810,215.17,102.39,168.7,201.76,55.8011,1.2579,3.95,64.9624,7.0,5.0,5.0,19.0,3.0,0.0,5.0,10.0,2.0,3.0,1.0,4.0,16.0,3.0,10.0,7.0,75.995771,202.112963,104.151481,161.975802,188.609506,320.390573,6.187053,49.068056,344.875292,316.0,398.0,325.0,1171.0,389.0,88.0,514.0,500.0,329.0,544.0,90.0,549.0,1300.0,498.0,487.0,602.0,62.845277,1
